No,Point Name,X (mm),Y (mm),Z (mm)
98,Point253,-34.699361407185,69.0823764339853,-50
99,Point254,-35.9950544069433,65.8197836624579,-50
100,Point255,-36.9933696196374,62.4543201488776,-50
101,Point256,-37.6844611259076,59.0124064788762,-50
102,Point257,-38.0600282681227,55.522105395103,-50
103,Point258,-38.1147177416677,52.0122178032352,-50
104,Point259,-37.8456092492059,48.5119880480172,-50
105,Point260,-37.2523926915801,45.0520437527603,-50
106,Point261,-36.3379876199994,41.663029066609,-50
107,Point262,-35.1075206634203,38.3752619035658,-50
108,Point263,-33.5699702320146,35.2194754671355,-50
109,Point264,-31.7366941138951,32.2261288070094,-50
110,Point265,-29.6224335205432,29.4238626799276,-50
111,Point266,-27.2446191307753,26.8414444257972,-50
112,Point267,-24.6245753688245,24.5056719941164,-50
113,Point268,-21.7852302454276,22.4416952799575,-50
114,Point269,-18.7533662432396,20.6723621661603,-50
115,Point270,-15.5583795801183,19.2190416668761,-50
116,Point271,-12.2317266955423,18.0991900617885,-50
117,Point272,-8.80712574870873,17.328210428538,-50
118,Point273,-5.32125993658796,16.9176259095605,-50
119,Point274,-1.81158291849949,16.8756762951135,-50
120,Point275,1.68307399009682,17.2064635082127,-50
121,Point276,5.12174805943507,17.9100034668928,-50
122,Point277,8.46372092736333,18.9820199948,-50
123,Point278,11.6686865802653,20.4136958790195,-50
124,Point279,14.6950241438715,22.191494117299,-50
125,Point280,17.5030793337987,24.2965461895266,-50
126,Point281,20.0548940841539,26.7066581267602,-50
127,Point282,22.3136955091881,29.3930918548059,-50
128,Point283,24.2453288395362,32.3229199841309,-50
129,Point284,25.8198232456094,35.4597948097228,-50
130,Point285,27.0103003922426,38.7615550924472,-50
131,Point286,27.794086562381,42.1820090222862,-50
132,Point287,28.1547868226506,45.6730139674816,-50
133,Point288,28.0807558998272,49.1820100786819,-50
134,Point289,27.5671003074706,52.6531307997728,-50
135,Point290,26.6159393705366,56.0310143007186,-50
136,Point291,25.2361001999269,59.2581123426742,-50
137,Point292,23.4453828502203,62.2755092869977,-50
138,Point293,21.2687248660575,65.0275661502649,-50
139,Point294,18.7387511762131,67.4600167826726,-50
140,Point295,15.8987199379974,69.5202319919685,-50
141,Point296,12.7984700964282,71.1621725987851,-50
142,Point297,9.49446853058246,72.3454771485337,-50
143,Point298,6.05454389328331,73.0356659071133,-50
144,Point299,2.55133577385955,73.2086126290052,-50
145,Point300,-0.939518032887712,72.8498464013128,-50
146,Point301,-4.3323055980836,71.9565721544316,-50
147,Point302,-7.53999507854929,70.5398797551534,-50
148,Point303,-10.4787645910955,68.6227695393347,-50
149,Point304,-13.0597240812898,66.2463599033199,-50
150,Point305,-15.1988115810859,63.4690556498874,-50
151,Point306,-16.8230006091013,60.3596283326855,-50
152,Point307,-17.8642904823525,57.0092368449404,-50
153,Point308,-18.2696710501394,53.5284449129114,-50
154,Point309,-18.0055781204086,50.0317118874533,-50
155,Point310,-17.0581144565285,46.6532685663506,-50
156,Point311,-15.4447679818803,43.5441533040086,-50
157,Point312,-13.2096511749048,40.8465181295388,-50
158,Point313,-10.4338780307518,38.7082077625667,-50
159,Point314,-7.23941191121863,37.268634027682,-50
160,Point315,-3.79282648881149,36.6473338017024,-50
161,Point316,-0.30296263006672,36.9297525035035,-50
162,Point317,2.97732410203749,38.1520693587331,-50
163,Point318,5.75490379509563,40.2765355073157,-50
164,Point319,7.7175249162321,43.1698899050749,-50
165,Point320,8.55143054137238,46.5598898114335,-50
